mode,group,rounded_tensors,fraction_bits,dropped_bits,total_weights,changed_weights,original_zeros,quantized_zeros,max_abs_delta_raw,sum_abs_delta_raw,saturations,mean_abs_delta_raw,candidate_sha256,sample_sha256,trace_sha256,matching_samples,first_sample_difference,trace_points,matching_trace_tokens,common_trace_points,matching_top1,max_abs_top1_value_delta_raw,first_logits_divergence,first_probs_divergence,first_output_token_divergence,first_top1_divergence
rescue,attention_output,"layers.0.attn_wk,layers.0.attn_wq,layers.0.attn_wv,layers.0.mlp_fc1,layers.0.mlp_fc2,lm_head,wpe,wte",11,37,13248,13248,0,15,68717444174,457075608247459,0,34501480091.14274,da932c5c4e1e2f91ec8c0916288cf2cdb274a4314dab07114ba043f6056dcf96,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,98f7407b9e87beaa942acf73125e43c38fa8611fdc299898d0b3ac4e264cf791,20,,122,122,122,121,902292558084,0:0,0:0,,15:5
rescue,mlp_fc1,"layers.0.attn_wk,layers.0.attn_wo,layers.0.attn_wq,layers.0.attn_wv,layers.0.mlp_fc2,lm_head,wpe,wte",11,37,10176,10176,0,12,68717444174,351652310510865,0,34557027369.385315,083cc7ad9b5e0579c9f5bcd1a9b45b7a6ea6b5962f8d0aaf532b7bd93bab199f,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,ddb55bd4859b013fb6f196bef22dd4054a4e0b42e035dd1db4a546164120dfff,20,,122,122,122,121,663057403663,0:0,0:0,,15:5
rescue,mlp_fc2,"layers.0.attn_wk,layers.0.attn_wo,layers.0.attn_wq,layers.0.attn_wv,layers.0.mlp_fc1,lm_head,wpe,wte",11,37,10176,10176,0,10,68717444174,349928725350985,0,34387649896.912834,093b84592cd0539c2216fca0dd4e4ec4f995a5538b811bd16a9e2501af7620cb,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,8070c905a5a9ac48a9f911ce3ffdda3f6ae95eeee4087648274726dbb2978ac1,20,,122,122,122,122,917879183904,0:0,0:0,,
all,all tensors rounded,"layers.0.attn_wk,layers.0.attn_wo,layers.0.attn_wq,layers.0.attn_wv,layers.0.mlp_fc1,layers.0.mlp_fc2,lm_head,wpe,wte",10,38,14272,14272,0,33,137437364486,984152577155646,0,68956879004.73978,0053cfe174b760e2bc1c7ebd67a00f0195cf63f47623e2d38da63af10a4b49bb,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,87bd73c0d4474fc31779c61cf8f68ac2dad573ea825a43ea82dde1f9452c75af,20,,122,122,122,121,2715452596965,0:0,0:0,,15:5
only,token_embedding,wte,10,38,864,864,0,1,137437364486,60008800593693,0,69454630316.7743,0f5137762fecb7588c9e1ac867eabfb522afaad3e115bcc1d839d32ce2dd42c4,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,1779b4aa550a894a876d039182552a4ec5474b4b7af114b60cb3242a675ce32b,20,,122,122,122,122,604792336269,0:0,0:0,,
only,position_embedding,wpe,10,38,256,256,0,0,135891353211,17518000345764,0,68429688850.640625,1777be5541ac2b84a599ad0aa185d8548d7a8fea229c3ffe25b6168b9a1d7535,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,66f946e0d4d32055177131efb619ebc4cdaee94abf27793aa6e9f025129ebef4,20,,122,122,122,122,552153288526,0:0,0:0,,
only,language_head,lm_head,10,38,864,864,0,1,137344729467,60681388988209,0,70233089106.72337,0432b3a8064be7b799fe607803f82a7bd4bd01f63097a47e231509caa769c867,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,d177cc44a199e60e8774b42685469aad68831c8159e20f8aa32fedcea6db6096,20,,122,122,122,122,875609126568,0:0,0:0,,
only,attention_qkv,"layers.0.attn_wk,layers.0.attn_wq,layers.0.attn_wv",10,38,3072,3072,0,5,137415883575,212539702609613,0,69186101109.90007,731556c151db1af8280f0f2b8ac6251687c22d13c6dbd2e9db4148702d4a1a0e,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,99e7045c51123bfe93a7fa7ccf824ef489a04707e2fb9f47c63846e5d5834227,20,,122,122,122,121,1300698191174,0:0,0:0,,15:5
only,attention_output,layers.0.attn_wo,10,38,1024,1024,0,2,137407262779,71254503680981,0,69584476250.95801,602047f8d8b4b667a50abd5d3ad50a5575f8e505929cb3285e610d5b36c16594,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,c15375e33147a4a0cec4d4aa45d790f673b594cd5d64b01a63924befd4e553c6,20,,122,122,122,122,593845461362,0:0,0:0,,
only,mlp_fc1,layers.0.mlp_fc1,10,38,4096,4096,0,8,137407371078,283538738507999,0,69223324831.05444,f2864c2d61e82becbe6a43e2a5c5e7923985eb0ee63ca6591c2ba4b603804d82,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,04f390baea5f01cfda09c8483d76c335487a6299d37c9a85c7317e39dbda9506,20,,122,122,122,121,2172483930377,0:0,0:0,,15:5
