fraction_bits,dropped_bits,total_weights,changed_weights,original_zeros,quantized_zeros,max_abs_delta_raw,sum_abs_delta_raw,saturations,mean_abs_delta_raw,candidate_sha256,sample_sha256,trace_sha256,matching_samples,first_sample_difference,trace_points,matching_trace_tokens,common_trace_points,matching_top1,max_abs_top1_value_delta_raw,first_logits_divergence,first_probs_divergence,first_output_token_divergence,first_top1_divergence
34,14,14272,14272,0,0,8191,58023118,0,4065.5211603139014,bbaa2a257accd699dab59b8b4d61029ed466fba30051a42c85a3fabffdb2829c,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,d04ce53b40611cbb3f18dbc5ea589cf0c901efffe15b17845cdcde23b3030e40,20,,122,122,122,122,135277,0:0,0:0,,
33,15,14272,14272,0,0,16383,117172818,0,8209.978839686099,ab28209111b82ecf6239698547f3a974d5f2a52321a4cf37889a55e476362e67,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,bce46b8e99d6977b978cfa57a9776f1e8dc1a03fa59b60c78611e42baa169a51,20,,122,122,122,122,510807,0:0,0:0,,
32,16,14272,14272,0,0,32765,236902922,0,16599.139714125562,4261c706f0f9b54a498a144122d1e7f4969e87cc88910d09859731cd2c5b1172,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,6baf2382e7b278eecbcbc64625b82378abd3071adf21b22a9fca342fd52d4eec,20,,122,122,122,122,542197,0:0,0:0,,
31,17,14272,14272,0,0,65531,471664308,0,33048.227858744394,07a29b88641cb5e1a8f19cc9c359d63985fe2a00e9a53067b12003098cdbf1f9,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,f61507e7e7945deca93af3a4301557bdd1e387c55dbf4bb390b05c2c256bcdf8,20,,122,122,122,122,1446539,0:0,0:0,,
30,18,14272,14272,0,0,131071,937748622,0,65705.4808015695,800e625b0360f32034b558a27c0fb9b01dff8ec667904ebd0eba1b51b9bc5cda,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,0dfc899c8c47ecf1cf3232eed5d6d451fe943465da003d35888c1ca3ab42b3f1,20,,122,122,122,122,2865244,0:0,0:0,,
29,19,14272,14272,0,0,262124,1869801210,0,131011.85608183856,febcbe02ffe147df0bf547bc3a57e96a351522e39634ce79e9b85d255956c81e,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,bf963e427cd43dc226033bcd0abdd3dc0743263b3e38a3f566021564660fed97,20,,122,122,122,122,3799137,0:0,0:0,,
28,20,14272,14272,0,0,524229,3787498398,0,265379.65232623316,4339f4152ddac50bd3a4cb794c667c0d4a47a103c1d0a60dd15ae971c101129d,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,04d5aee7875982567b80bd2f8e09ede50c43db38af27a914791c14d876bb4f00,20,,122,122,122,122,8063817,0:0,0:0,,
27,21,14272,14272,0,0,1048544,7492979982,0,525012.6108464126,a698595f31af445ad481e3424e4b97283758858dd23d0194d91282b909655ae3,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,22e2b137e73392c482ed0a1278cc9ddcee3a6d1c67768e3c1da1da286238ca39,20,,122,122,122,122,14289992,0:0,0:0,,
26,22,14272,14272,0,0,2096729,14911645824,0,1044818.2331838565,960b7541ee82b33b487816483bbc57ce3f917d4752b810553773facfb83449c4,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,6dc420a447b6858f9d69467c2f72291ef918977ba436cded24195850a23afb95,20,,122,122,122,122,44357834,0:0,0:0,,
25,23,14272,14272,0,0,4194242,29959986426,0,2099214.295543722,4886544d6630f2aacabd80c85699571484106d3bbca0c343152503e9dd323828,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,3c34693135da1cfbd72c95a5464069d821e4ddb79f9ccc1754c7812ee3d407c2,20,,122,122,122,122,91542669,0:0,0:0,,
