body_fraction_bits,head_fraction_bits,total_weights,changed_weights,fraction_bits,dropped_bits,original_zeros,quantized_zeros,max_abs_delta_raw,sum_abs_delta_raw,saturations,mean_abs_delta_raw,candidate_sha256,sample_sha256,trace_sha256,matching_samples,first_sample_difference,trace_points,matching_trace_tokens,common_trace_points,matching_top1,max_abs_top1_value_delta_raw,first_logits_divergence,first_probs_divergence,first_output_token_divergence,first_top1_divergence
10,12,864,864,12,36,0,0,34289462110,15095831130367,0,17472026771.258102,b6b05c44be9ed96085a60e52a4b74d7d4eb7cb7df3c778c07cd814f93f2b3c2e,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,37efada76311513733e042f7264c43244aa0d40f0b056633de137c9b55a7a3fe,20,,122,122,122,121,2646514365395,0:0,0:0,,15:5
10,13,864,864,13,35,0,0,17165221456,7681324896209,0,8890422333.575232,6c6a76fdb60fc0aa9aa152b82c4d28cb6e4811ecffb9a96598a4668e8669a6ce,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,085cfe8866cd8526b46f72f9cf487396a97df31e9c384bd4ae9240fa4510d657,20,,122,122,122,121,2664783681164,0:0,0:0,,15:5
10,14,864,864,14,34,0,0,8585862231,3689678461577,0,4270461182.380787,9849f4851726be09db9ec34467e918c588500b2a920fc7ab9710d6f68f9dc102,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,6afaef9083f0999b3d7f1e39e9e355909fc54b0594716f04d9e3479dce8a631c,20,,122,122,122,121,2627017842122,0:0,0:0,,15:5
10,16,864,864,16,32,0,0,2144910689,910303304825,0,1053591787.9918982,4e46659f718af8175b8aae60bb8d572841d26085f89e0929b516405da187175c,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,f4ea00080223fa14361d43bcd9654e3155acf23d098f67ad94cb5247f0b2168b,20,,122,122,122,121,2635314881859,0:0,0:0,,15:5
10,24,864,864,24,24,0,0,8384577,3632299571,0,4204050.429398148,daf16e61cda48a5ef1104e5cce654b7171dcfa8e30f58376511fa4fd3093f1a2,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,7d436b76f00d5e76bf15ad08a086ed974b49610097eb99a6cfc77a97d02c89d5,20,,122,122,122,121,2636871779484,0:0,0:0,,15:5
10,48,864,0,48,0,0,0,0,0,0,0.0,a9da26652d0c991c03d83d77677d421f38778dea826cfc45db296f023a049d03,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,8789b46799005466ef26abf73909313cb001ed87a1026036442a6f2875830ee1,20,,122,122,122,121,2636895192606,0:0,0:0,,15:5
9,9,864,864,9,39,0,3,274814086296,121490890935751,0,140614457101.56366,9187d41e9f68936750fd8c4558b96c00e45f839bc55119b214d3e4eafdd74630,9c6502df9092e93c92ef25ecd0eafb31cb5511b95a530490a16e100d46c4f21b,c69d77cfea00ce4f483be6f3af904ae276c66a0d27e0388f75d7ef48c7d575e3,18,15:2,123,113,122,115,772714418890151,0:0,0:0,15:2,15:3
9,10,864,864,10,38,0,1,137344729467,60681388988209,0,70233089106.72337,a3f674b6fd063436c5cf65ca25b8f5afb5f007317c69f0e19554067af78e289b,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,e4fd2545eef17d0d44227e6f249c95dfa53e3f8f60cf86b07269ae487a4b9e60,20,,122,122,122,122,7489332867055,0:0,0:0,,
9,11,864,864,11,37,0,1,68572470046,30652763421155,0,35477735441.15162,d345afe78f852c79cf51f4c9256ae0407038d0893bd5970bd474ea0fd741bfa3,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,0c6dad5ef1f40b2b792fd7e7418bf6e87b0ad60bd86729d500d5d0a4083e62dc,20,,122,122,122,122,7277589198535,0:0,0:0,,
9,12,864,864,12,36,0,0,34289462110,15095831130367,0,17472026771.258102,2b362ebafdb78f0db5f369c1ebc6d4f6d71ff4d82e1d250f0d86403725603b6d,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,67ee5032021e3cbf056c0747f83bb37a59779be4973c74d99ed584adbfe6550e,20,,122,122,122,122,7258312160458,0:0,0:0,,
9,13,864,864,13,35,0,0,17165221456,7681324896209,0,8890422333.575232,88f75b08ce26aa3115730e139752822e9e8a95e49dbc4cb15feb1086251e4bd6,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,eaf1a2bb6c04b7c2b4325a81826a485b52c37486473fc2c3693b70e76ace0001,20,,122,122,122,122,7172672661001,0:0,0:0,,
9,14,864,864,14,34,0,0,8585862231,3689678461577,0,4270461182.380787,35a82d3f4e435cf5a09a64b52a31202bd0cbe77df16ab846bdc58af9cbff2c29,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,c3ecb99290eaf8e77cdf3914cd60962b9211bdb7d20c9041c4e0132f7b847f9f,20,,122,122,122,122,7166258449660,0:0,0:0,,
9,16,864,864,16,32,0,0,2144910689,910303304825,0,1053591787.9918982,fe4d88eb283a0b29f9c83c282dc63c9e1f6d1b92044cbc6635e3ee03f3a3b45e,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,a1e6cbb19fd0ff6582f5b7f84a317c19694111eb14a160d884f33fc8a7ddace3,20,,122,122,122,122,7155100641599,0:0,0:0,,
9,24,864,864,24,24,0,0,8384577,3632299571,0,4204050.429398148,8c1dc74d5fcc67fca58b46bda0adc9878382da9f746047b5f39e47e7c8fd436b,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,4eb1ed0c8fe2acdf1070bbd3164eff2a406f7d4745b2987cf3507bc25c969306,20,,122,122,122,122,7154861598924,0:0,0:0,,
9,48,864,0,48,0,0,0,0,0,0,0.0,87c12a095047441432944f192280f8537aa6107a42fa654d55c1945ca6d44e03,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,373917c84ecb50e26f52ae4f4b719fb5e763a9c2211bf4b42dc5aef08343f427,20,,122,122,122,122,7154877540639,0:0,0:0,,
8,9,864,864,9,39,0,3,274814086296,121490890935751,0,140614457101.56366,955380c43212fc9582c7bbfe3646c83d52fe23231f8b6e403db237f2ddad1326,d80d356bb04b9f4ec0fa026b3202a3803b02ce98caf06ef79767eb4d987001dd,23ee755e8d8ec8750bcef1095352b536137181ca9530af4c2e239cc18e40ffad,1,1:0,125,29,115,56,1176875407438268,0:0,0:0,1:0,1:1
8,10,864,864,10,38,0,1,137344729467,60681388988209,0,70233089106.72337,02ff5bcb26e560060d7104899b7f8630848aff5e9230019396bc4a366ca02a9c,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,b45670553e0b998805123de3b2a4f8158a0fd81ebf06679cd9206ebb687b9e45,20,,122,122,122,122,8678274692061,0:0,0:0,,
8,11,864,864,11,37,0,1,68572470046,30652763421155,0,35477735441.15162,2c581566686db492162e8a33c07ca2df392d2dac9c18e39c1008836f24ed4d69,ed8c063e4053246666dd0fadf93d909915b0b85b8a8b75996769cfd813de80c6,7da4a37af83a4b0ca137448beee2e71aad17afab882011c5d4ad81688775919a,1,1:0,129,25,117,55,1306417995913945,0:0,0:0,1:0,1:1
8,12,864,864,12,36,0,0,34289462110,15095831130367,0,17472026771.258102,8ae4aad501b1ffb5f4977f69c985093c3723314350369f066ce2ffc7b627d632,ed8c063e4053246666dd0fadf93d909915b0b85b8a8b75996769cfd813de80c6,4be053ba7dd2ccbdc4ce98462c177cdc4f3345779b7972b3113a44d29d450822,1,1:0,129,25,117,55,1306070116142919,0:0,0:0,1:0,1:1
8,13,864,864,13,35,0,0,17165221456,7681324896209,0,8890422333.575232,c5c7155ab81012317a22b2859e088772b0bcf82b1a5afc078bda1268714d48a5,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,a39efb41da91a6a5e011a53c30285040853912af8c04d91c95619054ac3212de,20,,122,122,122,122,8667731276984,0:0,0:0,,
